Tamaño,Porcentaje de Suciedad,Promedio Celdas Limpias,Porcentaje Celdas Limpias
2x2,0.1,0.4,10.0
2x2,0.2,0.7,17.5
2x2,0.4,1.5,37.5
2x2,0.8,2.9,72.5
4x4,0.1,1.8,11.25
4x4,0.2,3.0,18.75
4x4,0.4,7.5,46.875
4x4,0.8,12.0,75.0
8x8,0.1,4.1,6.406249999999999
8x8,0.2,10.0,15.625
8x8,0.4,21.8,34.0625
8x8,0.8,42.1,65.78125
16x16,0.1,8.3,3.2421875000000004
16x16,0.2,16.3,6.3671875
16x16,0.4,34.9,13.6328125
16x16,0.8,66.6,26.015624999999996
32x32,0.1,8.2,0.8007812499999999
32x32,0.2,19.5,1.904296875
32x32,0.4,36.6,3.57421875
32x32,0.8,73.9,7.216796875000001
64x64,0.1,10.1,0.24658203125
64x64,0.2,17.7,0.43212890625
64x64,0.4,34.6,0.8447265625
64x64,0.8,72.4,1.7675781250000002
128x128,0.1,9.5,0.0579833984375
128x128,0.2,20.3,0.1239013671875
128x128,0.4,42.1,0.2569580078125
128x128,0.8,78.9,0.48156738281250006
